"","Neighbour","PC1"
"1","Allston","-0.105228190337943"
"2","Back Bay","-0.901950692778438"
"3","Bay Village","0.415226274683245"
"4","Brighton","0.529705757447321"
"5","Charlestown","-0.8422499556586"
"6","Dorchester","0.54021532042873"
"7","East Boston","0.00958943866847832"
"8","Fenway","-0.245194740098241"
"9","Harbor Islands","-2.26976629240916"
"10","Hyde Park","0.424052601094095"
"11","Jamaica Plain","-0.58294552114527"
"12","Leather District","1.62774374255909"
"13","Longwood Medical Area","-0.867531540785638"
"14","Mattapan","1.11532280410929"
"15","Mission Hill","0.96029386882374"
"16","North End","-0.88656282345101"
"17","Roslindale","-0.20757262500519"
"18","Roxbury","0.508038620283608"
"19","South Boston","-0.448593132453194"
"20","South Boston Waterfront","-1.85149706930476"
"21","South End","-0.225615482421887"
"22","West End","-1.39252359389694"
"23","West Roxbury","0.760248299514341"
"24","Beacon Hill","1.62774374255909"
"25","Downtown","1.62774374255909"
"26","Chinatown","1.62774374255909"
